threshold,del_type,mem_count,n_syn_deleted,del_level
0,min_val,107,800,0.125
0.1,min_val,110,48778,7.6215625
0.2,min_val,113,96586,15.0915625
0.3,min_val,119,183470,28.6671875
0.4,min_val,119,182920,28.58125
0.5,min_val,110,235136,36.74
0.6,min_val,107,280102,43.7659375
0.7,min_val,99,290514,45.3928125
0.8,min_val,92,341546,53.3665625
0.9,min_val,97,374692,58.545625
1,min_val,1,640000,100
1.1,min_val,1,640000,100
1.2,min_val,1,640000,100
1.3,min_val,1,640000,100
1.4,min_val,1,640000,100
0,min_val,125,800,0.125
0.1,min_val,104,50432,7.88
0.2,min_val,130,133406,20.8446875
0.3,min_val,120,138586,21.6540625
0.4,min_val,129,177478,27.7309375
0.5,min_val,100,245618,38.3778125
0.6,min_val,113,272684,42.606875
0.7,min_val,109,356664,55.72875
0.8,min_val,109,356804,55.750625
0.9,min_val,80,438966,68.5884375
1,min_val,1,640000,100
1.1,min_val,1,640000,100
1.2,min_val,1,640000,100
1.3,min_val,1,640000,100
1.4,min_val,1,640000,100
0,min_val,232,51178,7.9965625
0.1,min_val,214,101770,15.9015625
0.2,min_val,243,142042,22.1940625
0.3,min_val,239,144836,22.630625
0.4,min_val,248,194774,30.4334375
0.5,min_val,210,229752,35.89875
0.6,min_val,220,307106,47.9853125
0.7,min_val,208,320266,50.0415625
0.8,min_val,201,377592,58.99875
0.9,min_val,177,418260,65.353125
1,min_val,2,640000,100
1.1,min_val,2,640000,100
1.2,min_val,2,640000,100
1.3,min_val,2,640000,100
1.4,min_val,2,640000,100
,compressed,124,46402,7.2503125
,compressed,118,47026,7.3478125
,compressed,112,143516,22.424375
,compressed,110,144800,22.625
,compressed,108,236900,37.015625
,compressed,108,237926,37.1759375
,compressed,96,250260,39.103125
,compressed,106,322828,50.441875
,compressed,102,402136,62.83375
,compressed,96,411572,64.308125
,compressed,1,640000,100
,compressed,1,640000,100
,compressed,1,640000,100
,compressed,1,640000,100
,compressed,1,640000,100
,compressed,113,800,0.125
,compressed,94,53372,8.339375
,compressed,98,52568,8.21375
,compressed,99,102628,16.035625
,compressed,100,243886,38.1071875
,compressed,116,229632,35.88
,compressed,107,279314,43.6428125
,compressed,97,294042,45.9440625
,compressed,97,372962,58.2753125
,compressed,90,420878,65.7621875
,compressed,1,640000,100
,compressed,1,640000,100
,compressed,1,640000,100
,compressed,1,640000,100
,compressed,1,640000,100
,compressed,113,800,0.125
,compressed,114,48782,7.6221875
,compressed,110,144610,22.5953125
,compressed,120,137398,21.4684375
,compressed,108,236828,37.004375
,compressed,98,247332,38.645625
,compressed,110,317808,49.6575
,compressed,94,340612,53.220625
,compressed,79,404872,63.26125
,compressed,93,379654,59.3209375
,compressed,1,640000,100
,compressed,1,640000,100
,compressed,1,640000,100
,compressed,1,640000,100
,compressed,1,640000,100
,clipping,77,800,0.125
,clipping,85,800,0.125
,clipping,90,54610,8.5328125
,clipping,87,108876,17.011875
,clipping,90,159318,24.8934375
,clipping,93,206700,32.296875
,clipping,96,249368,38.96375
,clipping,101,367610,57.4390625
,clipping,93,379514,59.2990625
,clipping,91,383206,59.8759375
,clipping,1,640000,100
,clipping,1,640000,100
,clipping,1,640000,100
,clipping,1,640000,100
,clipping,1,640000,100
,clipping,81,800,0.125
,clipping,78,58394,9.1240625
,clipping,87,109178,17.0590625
,clipping,78,170130,26.5828125
,clipping,97,202140,31.584375
,clipping,95,204094,31.8896875
,clipping,102,327302,51.1409375
,clipping,98,333176,52.05875
,clipping,97,373092,58.295625
,clipping,90,420302,65.6721875
,clipping,1,640000,100
,clipping,1,640000,100
,clipping,1,640000,100
,clipping,1,640000,100
,clipping,1,640000,100
,clipping,79,800,0.125
,clipping,75,800,0.125
,clipping,86,55464,8.66625
,clipping,88,160804,25.125625
,clipping,99,200914,31.3928125
,clipping,94,252034,39.3803125
,clipping,92,254846,39.8196875
,clipping,93,299254,46.7584375
,clipping,97,373634,58.3803125
,clipping,101,434864,67.9475
,clipping,1,640000,100
,clipping,1,640000,100
,clipping,1,640000,100
,clipping,1,640000,100
,clipping,1,640000,100
