threshold,n_mem,n_syn_deleted,del_type,del_level
0.1,154.6666667,17592.66667,min_val,2.748854167
0.2,142.6666667,66993.33333,min_val,10.46770833
0.3,162,124011.3333,min_val,19.37677083
0.4,159.3333333,155630.6667,min_val,24.31729167
0.5,165.3333333,185057.3333,min_val,28.91520833
0.6,140,236835.3333,min_val,37.00552083
0.7,146.6666667,286630.6667,min_val,44.78604167
0.8,138.6666667,322481.3333,min_val,50.38770833
0.9,134,358647.3333,min_val,56.03864583
1,118,410639.3333,min_val,64.16239583
1.1,1.333333333,640000,min_val,100
1.2,1.333333333,640000,min_val,100
1.3,1.333333333,640000,min_val,100
1.4,1.333333333,640000,min_val,100
1.5,1.333333333,640000,min_val,100
0.1,116.6666667,16000.66667,compressed,2.500104167
0.2,108.6666667,49726.66667,compressed,7.769791667
0.3,106.6666667,113564.6667,compressed,17.74447917
0.4,109.6666667,128275.3333,compressed,20.04302083
0.5,105.3333333,239204.6667,compressed,37.37572917
0.6,107.3333333,238296.6667,compressed,37.23385417
0.7,104.3333333,282460.6667,compressed,44.13447917
0.8,99,319160.6667,compressed,49.86885417
0.9,92.66666667,393323.3333,compressed,61.45677083
1,93,404034.6667,compressed,63.13041667
1.1,1,640000,compressed,100
1.2,1,640000,compressed,100
1.3,1,640000,compressed,100
1.4,1,640000,compressed,100
1.5,1,640000,compressed,100
0.1,79,800,clipping,0.125
0.2,79.33333333,19998,clipping,3.1246875
0.3,87.66666667,73084,clipping,11.419375
0.4,84.33333333,146603.3333,clipping,22.90677083
0.5,95.33333333,187457.3333,clipping,29.29020833
0.6,94,220942.6667,clipping,34.52229167
0.7,96.66666667,277172,clipping,43.308125
0.8,97.33333333,333346.6667,clipping,52.08541667
0.9,95.66666667,375413.3333,clipping,58.65833333
1,94,412790.6667,clipping,64.49854167
1.1,1,640000,clipping,100
1.2,1,640000,clipping,100
1.3,1,640000,clipping,100
1.4,1,640000,clipping,100
1.5,1,640000,clipping,100
0,115,800,random,0.125
0.05,104,49657,random,7.75890625
0.1,106,80090.33333,random,12.51411458
0.15,101.6666667,124924,random,19.519375
0.2,96.33333333,156484,random,24.450625
0.25,88.33333333,187917.3333,random,29.36208333
0.3,86.66666667,231029,random,36.09828125
0.35,78.66666667,236601,random,36.96890625
0.4,80.33333333,279449.6667,random,43.66401042
0.45,66,300124.6667,random,46.89447917
0.5,58.33333333,342298.6667,random,53.48416667
0.55,55,372550.6667,random,58.21104167
0.6,47.66666667,384312.6667,random,60.04885417
0.65,41.33333333,425674.6667,random,66.51166667
0.7,39.33333333,456039.3333,random,71.25614583
0.75,33.33333333,487817,random,76.22140625
0.8,27,512164.3333,random,80.02567708
0.85,21,544118.3333,random,85.01848958
0.9,14.66666667,580558,random,90.7121875
0.95,7.333333333,610941.3333,random,95.45958333
1,1,640000,random,100
