,threshold,n_neurons,del_type,n_memories,n_syn_deleted,n_syn
0,0,900,min_val,125,900,809100
1,0.1,900,min_val,142,55336,754664
2,0.2,900,min_val,127,115530,694470
3,0.3,900,min_val,131,221830,588170
4,0.4,900,min_val,118,286466,523534
5,0.5,900,min_val,130,275718,534282
6,0.6,900,min_val,121,336080,473920
7,0.7,900,min_val,139,408230,401770
8,0.8,900,min_val,127,507496,302504
9,0.9,900,min_val,124,548436,261564
10,1,900,min_val,1,810000,0
11,1.1,900,min_val,1,810000,0
12,1.2,900,min_val,1,810000,0
13,1.3,900,min_val,1,810000,0
14,1.4,900,min_val,1,810000,0
15,0,1000,min_val,148,65950,934050
16,0.1,1000,min_val,143,133730,866270
17,0.2,1000,min_val,132,206330,793670
18,0.3,1000,min_val,143,261736,738264
19,0.4,1000,min_val,144,323686,676314
20,0.5,1000,min_val,153,371982,628018
21,0.6,1000,min_val,112,493026,506974
22,0.7,1000,min_val,137,506622,493378
23,0.8,1000,min_val,134,562664,437336
24,0.9,1000,min_val,125,629498,370502
25,1,1000,min_val,1,1000000,0
26,1.1,1000,min_val,1,1000000,0
27,1.2,1000,min_val,1,1000000,0
28,1.3,1000,min_val,1,1000000,0
29,1.4,1000,min_val,1,1000000,0
30,0,1100,min_val,164,76806,1133194
31,0.1,1100,min_val,153,156464,1053536
32,0.2,1100,min_val,164,224456,985544
33,0.3,1100,min_val,163,298880,911120
34,0.4,1100,min_val,158,375122,834878
35,0.5,1100,min_val,151,454092,755908
36,0.6,1100,min_val,158,510560,699440
37,0.7,1100,min_val,136,675652,534348
38,0.8,1100,min_val,129,751470,458530
39,0.9,1100,min_val,136,792360,417640
40,1,1100,min_val,1,1210000,0
41,1.1,1100,min_val,1,1210000,0
42,1.2,1100,min_val,1,1210000,0
43,1.3,1100,min_val,1,1210000,0
44,1.4,1100,min_val,1,1210000,0
45,0,900,random,140,54746,755254
46,0.05,900,random,120,97926,712074
47,0.1,900,random,118,135006,674994
48,0.15,900,random,103,122280,687720
49,0.2,900,random,111,162741,647259
50,0.25,900,random,103,203176,606824
51,0.3,900,random,98,289230,520770
52,0.35,900,random,97,284073,525927
53,0.4,900,random,78,368542,441458
54,0.45,900,random,72,407058,402942
55,0.5,900,random,72,443822,366178
56,0.55,900,random,54,485034,324966
57,0.6,900,random,54,520972,289028
58,0.65,900,random,43,526822,283178
59,0.7,900,random,47,567291,242709
60,0.75,900,random,36,634340,175660
61,0.8,900,random,31,648183,161817
62,0.85,900,random,22,708994,101006
63,0.9,900,random,15,729093,80907
64,0.95,900,random,8,780625,29375
65,1,900,random,1,810000,0
66,0,1000,random,156,63822,936178
67,0.05,1000,random,137,50948,949052
68,0.1,1000,random,128,163681,836319
69,0.15,1000,random,141,150863,849137
70,0.2,1000,random,120,259303,740697
71,0.25,1000,random,112,307295,692705
72,0.3,1000,random,95,300696,699304
73,0.35,1000,random,102,401706,598294
74,0.4,1000,random,89,400591,599409
75,0.45,1000,random,87,450546,549454
76,0.5,1000,random,66,549035,450965
77,0.55,1000,random,76,591647,408353
78,0.6,1000,random,60,641681,358319
79,0.65,1000,random,58,686994,313006
80,0.7,1000,random,48,734403,265597
81,0.75,1000,random,39,750255,249745
82,0.8,1000,random,33,800196,199804
83,0.85,1000,random,27,850146,149854
84,0.9,1000,random,18,918392,81608
85,0.95,1000,random,9,950052,49948
86,1,1000,random,1,1000000,0
87,0,1100,random,161,1100,1208900
88,0.05,1100,random,149,61526,1148474
89,0.1,1100,random,139,121990,1088010
90,0.15,1100,random,145,182432,1027568
91,0.2,1100,random,132,309976,900024
92,0.25,1100,random,129,303311,906689
93,0.3,1100,random,118,425364,784636
94,0.35,1100,random,96,488009,721991
95,0.4,1100,random,100,542576,667424
96,0.45,1100,random,93,545090,664910
97,0.5,1100,random,90,656110,553890
98,0.55,1100,random,86,713108,496892
99,0.6,1100,random,59,726441,483559
100,0.65,1100,random,59,786901,423099
101,0.7,1100,random,55,847313,362687
102,0.75,1100,random,46,943047,266953
103,0.8,1100,random,35,968233,241767
104,0.85,1100,random,28,1055929,154071
105,0.9,1100,random,19,1089106,120894
106,0.95,1100,random,10,1164342,45658
107,1,1100,random,1,1210000,0
0,0.1,800,min_val,116,17592.66667,622407.3333
1,0.2,800,min_val,107,66993.33333,573006.6667
2,0.3,800,min_val,121.5,124011.3333,515988.6667
3,0.4,800,min_val,119.5,155630.6667,484369.3333
4,0.5,800,min_val,124,185057.3333,454942.6667
5,0.6,800,min_val,105,236835.3333,403164.6667
6,0.7,800,min_val,110,286630.6667,353369.3333
7,0.8,800,min_val,104,322481.3333,317518.6667
8,0.9,800,min_val,100.5,358647.3333,281352.6667
9,1,800,min_val,88.5,410639.3333,229360.6667
10,1.1,800,min_val,1,640000,0
11,1.2,800,min_val,1,640000,0
12,1.3,800,min_val,1,640000,0
13,1.4,800,min_val,1,640000,0
14,1.5,800,min_val,1,640000,0
15,0.1,800,compressed,116.6666667,16000.66667,623999.3333
16,0.2,800,compressed,108.6666667,49726.66667,590273.3333
17,0.3,800,compressed,106.6666667,113564.6667,526435.3333
18,0.4,800,compressed,109.6666667,128275.3333,511724.6667
19,0.5,800,compressed,105.3333333,239204.6667,400795.3333
20,0.6,800,compressed,107.3333333,238296.6667,401703.3333
21,0.7,800,compressed,104.3333333,282460.6667,357539.3333
22,0.8,800,compressed,99,319160.6667,320839.3333
23,0.9,800,compressed,92.66666667,393323.3333,246676.6667
24,1,800,compressed,93,404034.6667,235965.3333
25,1.1,800,compressed,1,640000,0
26,1.2,800,compressed,1,640000,0
27,1.3,800,compressed,1,640000,0
28,1.4,800,compressed,1,640000,0
29,1.5,800,compressed,1,640000,0
30,0.1,800,clipping,79,800,639200
31,0.2,800,clipping,79.33333333,19998,620002
32,0.3,800,clipping,87.66666667,73084,566916
33,0.4,800,clipping,84.33333333,146603.3333,493396.6667
34,0.5,800,clipping,95.33333333,187457.3333,452542.6667
35,0.6,800,clipping,94,220942.6667,419057.3333
36,0.7,800,clipping,96.66666667,277172,362828
37,0.8,800,clipping,97.33333333,333346.6667,306653.3333
38,0.9,800,clipping,95.66666667,375413.3333,264586.6667
39,1,800,clipping,94,412790.6667,227209.3333
40,1.1,800,clipping,1,640000,0
41,1.2,800,clipping,1,640000,0
42,1.3,800,clipping,1,640000,0
43,1.4,800,clipping,1,640000,0
44,1.5,800,clipping,1,640000,0
45,0,800,random,115,800,639200
46,0.05,800,random,104,49657,590343
47,0.1,800,random,106,80090.33333,559909.6667
48,0.15,800,random,101.6666667,124924,515076
49,0.2,800,random,96.33333333,156484,483516
50,0.25,800,random,88.33333333,187917.3333,452082.6667
51,0.3,800,random,86.66666667,231029,408971
52,0.35,800,random,78.66666667,236601,403399
53,0.4,800,random,80.33333333,279449.6667,360550.3333
54,0.45,800,random,66,300124.6667,339875.3333
55,0.5,800,random,58.33333333,342298.6667,297701.3333
56,0.55,800,random,55,372550.6667,267449.3333
57,0.6,800,random,47.66666667,384312.6667,255687.3333
58,0.65,800,random,41.33333333,425674.6667,214325.3333
59,0.7,800,random,39.33333333,456039.3333,183960.6667
60,0.75,800,random,33.33333333,487817,152183
61,0.8,800,random,27,512164.3333,127835.6667
62,0.85,800,random,21,544118.3333,95881.6667
63,0.9,800,random,14.66666667,580558,59442
64,0.95,800,random,7.333333333,610941.3333,29058.6667
65,1,800,random,1,640000,0
14,0,800,min_val,140,0,640000
