,n_mem,n_syn_deleted,del_type,del_level
0,115.0,800.0,random,0.125
1,104.0,49657.0,random,7.75890625
2,106.0,80090.33333333333,random,12.514114583333333
3,101.66666666666667,124924.0,random,19.519375
4,96.33333333333333,156484.0,random,24.450625000000002
5,88.33333333333333,187917.33333333334,random,29.362083333333334
6,86.66666666666667,231029.0,random,36.09828125
7,78.66666666666667,236601.0,random,36.96890625
8,80.33333333333333,279449.6666666667,random,43.66401041666667
9,66.0,300124.6666666667,random,46.89447916666667
10,58.333333333333336,342298.6666666667,random,53.48416666666667
11,55.0,372550.6666666667,random,58.211041666666674
12,47.666666666666664,384312.6666666667,random,60.048854166666665
13,41.333333333333336,425674.6666666667,random,66.51166666666667
14,39.333333333333336,456039.3333333333,random,71.25614583333333
15,33.333333333333336,487817.0,random,76.22140625
16,27.0,512164.3333333333,random,80.02567708333333
17,21.0,544118.3333333334,random,85.01848958333333
18,14.666666666666666,580558.0,random,90.7121875
19,7.333333333333333,610941.3333333334,random,95.45958333333334
20,1.0,640000.0,random,100.0
